sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G4
F;15;R;LE3;T;2;2;health;services;reputation;mother;2;2;0;yes;yes;yes;no;yes;yes;yes;no;4;1;3;1;3;4;2;8;1
F;15;R;LE3;T;3;1;other;other;reputation;father;2;4;0;no;yes;no;no;no;yes;yes;no;4;4;2;2;3;3;12;16;3
M;16;U;GT3;T;3;1;other;other;reputation;father;2;4;0;no;yes;yes;no;yes;yes;yes;no;4;3;2;1;1;5;0;13;3
M;15;U;GT3;T;4;2;other;other;course;mother;1;4;0;no;no;no;no;yes;yes;yes;no;3;3;3;1;1;3;0;10;1
F;15;R;GT3;T;1;1;other;other;reputation;mother;1;2;2;yes;yes;no;no;no;yes;yes;yes;3;3;4;2;4;5;2;8;1
M;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;no;no;5;3;2;2;2;5;2;12;2
F;16;U;GT3;T;3;3;other;services;home;mother;1;2;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;3;2;4;5;54;11;2
M;15;U;GT3;T;4;3;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;2;3;5;6;9;1
M;15;U;GT3;T;4;0;teacher;other;course;mother;2;4;0;no;no;no;yes;yes;yes;yes;no;3;4;3;1;1;1;8;11;1
F;16;U;GT3;T;2;2;other;other;reputation;mother;1;4;0;no;no;yes;no;yes;yes;yes;yes;5;2;3;1;3;3;0;11;2
M;17;U;GT3;T;2;1;other;other;home;mother;2;1;3;yes;yes;no;yes;yes;no;yes;no;4;5;1;1;1;3;2;8;1
F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3;12;5;1
M;15;U;GT3;T;2;3;other;services;course;father;1;1;0;yes;yes;yes;yes;no;yes;yes;yes;3;2;2;1;3;3;2;10;2
M;15;U;GT3;T;2;3;other;other;home;mother;1;3;0;yes;no;yes;no;no;yes;yes;no;5;3;2;1;2;5;4;11;2
F;15;U;LE3;T;3;2;services;other;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;4;4;1;1;5;10;7;1
M;15;U;LE3;T;2;2;services;services;home;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;3;4;4;15;3
F;15;U;GT3;T;1;1;other;other;home;father;1;2;0;no;yes;no;yes;no;yes;yes;no;4;3;2;2;3;4;2;9;1
F;15;U;GT3;T;4;4;services;services;reputation;father;2;2;2;no;no;yes;no;yes;yes;yes;yes;4;4;4;2;3;5;6;7;1
F;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;4;1;2;2;4;8;1
F;15;U;GT3;T;4;2;other;other;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;1;4;13;2
M;16;U;GT3;T;2;2;services;other;reputation;father;2;2;1;no;no;yes;yes;no;yes;yes;no;4;4;2;1;1;3;12;11;1
M;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;1;3;3;5;5;18;8;1
F;16;U;GT3;T;3;3;other;other;home;mother;1;3;0;no;yes;yes;no;yes;yes;yes;yes;4;3;3;1;3;4;0;7;1
F;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;0;no;no;yes;yes;yes;yes;yes;no;4;5;5;1;3;1;4;16;3
F;16;U;LE3;T;3;1;other;other;home;father;1;2;0;yes;yes;no;no;yes;yes;no;no;3;3;3;2;3;2;4;7;1
F;16;U;GT3;T;4;2;teacher;services;home;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;1;1;0;11;1
M;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4;6;11;2
F;15;R;GT3;T;1;1;at_home;other;home;mother;2;4;1;yes;yes;yes;yes;yes;yes;yes;no;3;1;2;1;1;1;2;7;1
M;16;R;GT3;T;4;3;services;other;reputation;mother;2;1;0;yes;yes;no;yes;no;yes;yes;no;3;3;3;1;1;4;2;11;3
F;16;U;GT3;T;2;1;other;other;course;mother;1;2;0;no;yes;yes;no;yes;yes;no;yes;4;3;5;1;1;5;2;8;1
F;16;U;GT3;T;4;4;other;other;reputation;mother;1;1;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;2;1;6;11;2
F;16;U;GT3;T;4;3;other;at_home;course;mother;1;3;0;yes;yes;yes;no;yes;yes;yes;no;5;3;5;1;1;3;0;7;1
M;16;U;GT3;T;4;4;services;services;other;mother;1;1;0;yes;yes;yes;yes;yes;yes;yes;no;4;5;5;5;5;4;14;7;1
M;16;U;GT3;T;4;4;services;teacher;other;father;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;4;3;1;1;4;0;16;3
M;15;U;GT3;T;4;4;services;other;course;mother;1;1;0;no;yes;no;yes;no;yes;yes;no;5;3;3;1;1;5;4;10;2
F;15;U;GT3;T;3;2;services;other;home;mother;2;2;0;yes;yes;yes;no;yes;yes;yes;no;4;3;5;1;1;2;26;7;1
M;15;U;GT3;A;3;4;services;other;course;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;4;4;1;1;1;0;16;3
F;15;U;GT3;A;3;3;other;health;reputation;father;1;4;0;yes;no;no;no;yes;yes;no;no;4;3;3;1;1;4;10;10;2
F;15;U;GT3;T;2;2;other;other;course;mother;1;4;0;yes;yes;yes;no;yes;yes;yes;no;5;1;2;1;1;3;8;7;1
M;16;U;GT3;T;3;3;services;other;home;father;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5;2;16;3
M;15;R;GT3;T;4;4;other;other;home;father;4;4;0;no;yes;yes;yes;yes;yes;yes;yes;1;3;5;3;5;1;6;10;2
F;16;U;LE3;T;4;4;health;health;other;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;5;1;1;4;4;14;3
M;15;U;LE3;A;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;5;5;3;1;1;4;6;18;3
F;16;R;GT3;T;3;3;services;other;reputation;father;1;3;1;yes;yes;no;yes;yes;yes;yes;no;4;1;2;1;1;2;0;7;1
F;16;U;GT3;T;2;2;at_home;other;home;mother;1;2;1;yes;no;no;yes;yes;yes;yes;no;3;1;2;1;1;5;6;10;2
M;15;U;LE3;T;4;2;teacher;other;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;5;2;1;1;3;10;18;3
M;15;R;GT3;T;2;1;health;services;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;4;2;1;1;5;8;9;1
M;16;U;GT3;T;4;4;teacher;teacher;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;2;5;2;15;3
M;15;U;GT3;T;4;4;other;teacher;reputation;father;2;2;0;no;yes;no;yes;yes;yes;no;no;4;4;3;1;1;2;2;11;2
M;16;U;GT3;T;3;3;other;services;home;father;2;1;0;no;no;no;yes;yes;yes;yes;no;5;4;2;1;1;5;0;13;2
M;17;R;GT3;T;1;3;other;other;course;father;3;2;1;no;yes;no;yes;yes;yes;yes;no;5;2;4;1;4;5;20;9;1
M;15;U;GT3;T;3;4;other;other;reputation;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;4;3;1;2;4;6;14;2
F;15;U;GT3;T;1;2;at_home;services;course;mother;1;2;0;no;no;no;no;no;yes;yes;no;3;2;3;1;2;1;2;16;3
M;15;U;GT3;T;2;2;services;services;home;father;1;4;0;no;yes;yes;yes;yes;yes;yes;no;5;5;4;1;2;5;6;16;3
F;16;U;LE3;T;2;4;other;health;course;father;2;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;2;2;1;2;5;2;13;2
M;16;U;GT3;T;4;4;health;other;course;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;3;4;4;1;4;5;18;14;2
F;16;U;GT3;T;2;2;other;other;home;mother;1;2;0;no;no;yes;no;yes;yes;yes;yes;5;4;4;1;1;5;0;8;1
M;15;U;GT3;T;3;4;services;services;home;father;1;1;0;yes;no;no;no;yes;yes;yes;no;5;5;5;3;2;5;0;13;2
F;15;U;LE3;A;3;4;other;other;home;mother;1;2;0;yes;no;no;yes;yes;yes;yes;yes;5;3;2;1;1;1;0;7;2
F;19;U;GT3;T;0;1;at_home;other;course;other;1;2;3;no;yes;no;no;no;no;no;no;3;4;2;1;1;5;2;7;1
M;18;R;GT3;T;2;2;services;other;reputation;mother;1;1;2;no;yes;no;yes;yes;yes;yes;no;3;3;3;1;2;4;0;7;1
M;16;R;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;no;yes;yes;yes;yes;yes;no;3;5;5;2;5;4;8;18;3
F;15;R;GT3;T;3;4;services;teacher;course;father;2;3;2;no;yes;no;no;yes;yes;yes;yes;4;2;2;2;2;5;0;12;1
F;15;U;GT3;T;1;1;at_home;other;course;mother;3;1;0;no;yes;no;yes;no;yes;yes;yes;4;3;3;1;2;4;0;8;1
F;17;U;LE3;T;2;2;other;other;course;father;1;1;0;no;yes;no;no;yes;yes;yes;yes;3;4;4;1;3;5;12;10;2
F;16;U;GT3;A;3;4;services;other;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;2;1;1;4;5;16;12;2
M;15;R;GT3;T;3;4;at_home;teacher;course;mother;4;2;0;no;yes;no;no;yes;yes;no;yes;5;3;3;1;1;5;0;9;1
F;15;U;GT3;T;4;4;services;at_home;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;1;1;5;0;11;1
M;17;R;GT3;T;3;4;at_home;other;course;mother;3;2;0;no;no;no;no;yes;yes;no;no;5;4;5;2;4;5;0;10;1
F;16;U;GT3;A;3;3;other;other;course;other;2;1;2;no;yes;no;yes;no;yes;yes;yes;4;3;2;1;1;5;0;4;1
M;16;U;LE3;T;1;1;services;other;course;mother;1;2;1;no;no;no;no;yes;yes;no;yes;4;4;4;1;3;5;0;14;2
F;15;U;GT3;T;4;4;teacher;teacher;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;4;3;2;1;1;5;0;16;3
M;15;U;GT3;T;4;3;teacher;services;course;father;2;4;0;yes;yes;no;no;yes;yes;yes;no;2;2;2;1;1;3;0;7;1
M;16;U;LE3;T;2;2;services;services;reputation;father;2;1;2;no;yes;no;yes;yes;yes;yes;no;2;3;3;2;2;2;8;9;1
F;15;U;GT3;T;4;4;teacher;services;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;4;2;2;1;1;5;2;9;2
F;16;U;LE3;T;1;1;at_home;at_home;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;4;4;3;3;1;2;14;2
M;17;U;GT3;T;2;1;other;other;home;mother;1;1;3;no;yes;no;no;yes;yes;yes;no;5;4;5;1;2;5;0;5;1
F;15;U;GT3;T;1;1;other;services;course;father;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;4;2;1;2;5;0;8;2
F;15;U;GT3;T;3;2;health;services;home;father;1;2;3;no;yes;no;no;yes;yes;yes;no;3;3;2;1;1;3;0;6;1
F;15;U;GT3;T;1;2;at_home;other;course;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;4;3;2;1;1;5;2;10;2
M;16;U;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;yes;no;no;yes;no;yes;yes;3;3;2;2;1;5;0;7;1
M;15;U;LE3;A;2;1;services;other;course;mother;4;1;3;no;no;no;no;yes;yes;yes;no;4;5;5;2;5;5;0;8;1
M;18;U;LE3;T;1;1;other;other;course;mother;1;1;3;no;no;no;no;yes;no;yes;yes;2;3;5;2;5;4;0;6;1
M;16;U;LE3;T;2;1;at_home;other;course;mother;1;1;1;no;no;no;yes;yes;yes;no;yes;4;4;4;3;5;5;6;12;2
F;15;R;GT3;T;3;3;services;services;reputation;other;2;3;2;no;yes;yes;yes;yes;yes;yes;yes;4;2;1;2;3;3;8;10;1
M;19;U;GT3;T;3;2;services;at_home;home;mother;1;1;3;no;yes;no;no;yes;no;yes;yes;4;5;4;1;1;4;0;5;1
F;17;U;GT3;T;4;4;other;teacher;course;mother;1;1;0;yes;yes;no;no;yes;yes;no;yes;4;2;1;1;1;4;0;11;2
M;15;R;GT3;T;2;3;at_home;services;course;mother;1;2;0;yes;no;yes;yes;yes;yes;no;no;4;4;4;1;1;1;2;11;1
M;17;R;LE3;T;1;2;other;other;reputation;mother;1;1;0;no;no;no;no;yes;yes;no;no;2;2;2;3;3;5;8;16;2
F;18;R;GT3;T;1;1;at_home;other;course;mother;3;1;3;no;yes;no;yes;no;yes;no;no;5;2;5;1;5;4;6;9;1
M;16;R;GT3;T;2;2;at_home;other;course;mother;3;1;0;no;no;no;no;no;yes;no;no;4;2;2;1;2;3;2;17;3
M;16;U;GT3;T;3;3;other;services;course;father;1;2;1;no;yes;yes;no;yes;yes;yes;yes;4;5;5;4;4;5;4;10;2
M;17;R;LE3;T;2;1;at_home;other;course;mother;2;1;2;no;no;no;yes;yes;no;yes;yes;3;3;2;2;2;5;0;7;1
M;15;R;GT3;T;3;2;other;other;course;mother;2;2;2;yes;yes;no;no;yes;yes;yes;yes;4;4;4;1;4;3;6;5;1
M;16;U;LE3;T;1;2;other;other;course;mother;2;1;1;no;no;no;yes;yes;yes;no;no;4;4;4;2;4;5;0;7;1
M;17;U;GT3;T;1;3;at_home;services;course;father;1;1;0;no;no;no;no;yes;no;yes;no;5;3;3;1;4;2;2;10;1
M;17;R;LE3;T;1;1;other;services;course;mother;4;2;3;no;no;no;yes;yes;no;no;yes;5;3;5;1;5;5;0;5;1
M;16;U;GT3;T;3;2;services;services;course;mother;2;1;1;no;yes;no;yes;no;no;no;no;4;5;2;1;1;2;16;12;2
M;16;U;GT3;T;2;2;other;other;course;father;1;2;0;no;no;no;no;yes;no;yes;no;4;3;5;2;4;4;4;10;1
F;16;U;GT3;T;4;2;health;services;home;father;1;2;0;no;no;yes;no;yes;yes;yes;yes;4;2;3;1;1;3;0;14;3
F;16;U;GT3;T;2;2;other;other;home;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;5;1;5;1;1;4;0;6;1
F;16;U;GT3;T;4;4;health;health;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;4;4;2;1;1;3;0;14;2
M;16;U;GT3;T;3;4;other;other;course;father;3;1;2;no;yes;no;yes;no;yes;yes;no;3;4;5;2;4;2;0;6;1
M;16;U;GT3;T;1;0;other;other;reputation;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;2;1;1;3;2;13;3
M;17;U;LE3;T;4;4;teacher;other;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;4;4;1;3;5;0;13;1
F;16;U;GT3;T;1;3;at_home;services;home;mother;1;2;3;no;no;no;yes;no;yes;yes;yes;4;3;5;1;1;3;0;8;1
F;16;U;LE3;T;3;3;other;other;reputation;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;4;5;1;1;4;4;10;1
M;17;U;LE3;T;4;3;teacher;other;course;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;4;4;4;4;4;4;4;10;1
F;16;U;GT3;T;2;2;services;other;reputation;mother;2;2;0;no;no;yes;yes;no;yes;yes;no;3;4;4;1;4;5;2;13;2
M;17;U;GT3;T;3;3;other;other;reputation;father;1;2;0;no;no;no;yes;no;yes;yes;no;4;3;4;1;4;4;4;6;1
M;16;R;GT3;T;4;2;teacher;services;other;mother;1;1;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;3;4;3;10;10;1
M;17;U;GT3;T;4;3;other;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;5;2;3;1;1;2;4;10;2
M;16;U;GT3;T;4;3;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;3;4;3;2;3;3;10;9;1
M;16;U;GT3;T;3;3;services;other;home;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;4;2;3;1;2;3;2;12;2
F;17;U;GT3;T;2;4;services;services;reputation;father;1;2;0;no;yes;no;yes;yes;yes;no;no;5;4;2;2;3;5;0;16;3
F;17;U;LE3;T;3;3;other;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;5;3;3;2;3;1;56;9;1
F;16;U;GT3;T;3;2;other;other;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;1;2;2;1;2;1;14;12;2
M;17;U;GT3;T;3;3;services;services;other;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;4;2;3;4;12;12;2
M;16;U;GT3;T;1;2;services;services;other;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;yes;3;3;3;1;2;3;2;11;2
M;16;U;LE3;T;2;1;other;other;course;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;4;2;3;1;2;5;0;15;3
F;17;U;GT3;A;3;3;health;other;reputation;mother;1;2;0;no;yes;no;no;no;yes;yes;yes;3;3;3;1;3;3;6;8;1
M;17;R;GT3;T;1;2;at_home;other;home;mother;1;2;0;no;no;no;no;yes;yes;no;no;3;1;3;1;5;3;4;8;1
F;16;U;GT3;T;2;3;services;services;course;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;3;3;1;1;2;10;11;2
F;17;U;GT3;T;1;1;at_home;services;course;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;5;3;3;1;1;3;0;8;1
M;17;U;GT3;T;1;2;at_home;services;other;other;2;2;0;no;no;yes;yes;no;yes;yes;no;4;4;4;4;5;5;12;7;1
M;16;R;GT3;T;3;3;services;services;reputation;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;3;2;3;4;5;8;8;1
